Source,Target,Type
4000,4000,Directed
4000,36220,Directed
4000,6623,Directed
4000,16479,Directed
4000,40374,Directed
4000,4000,Directed
4000,38307,Directed
16084,16084,Directed
16084,9268,Directed
16084,16152,Directed
25864,25864,Directed
25864,26831,Directed
25864,7206,Directed
25864,36109,Directed
20700,20700,Directed
20700,27175,Directed
20700,15735,Directed
20700,9734,Directed
20700,7551,Directed
20700,2021,Directed
20700,6156,Directed
20700,13220,Directed
20700,28527,Directed
20700,13298,Directed
20700,16721,Directed
20700,17775,Directed
20700,4543,Directed
20700,35609,Directed
20700,16896,Directed
20700,29352,Directed
20700,31673,Directed
20700,23924,Directed
20700,8189,Directed
20700,8985,Directed
20700,22461,Directed
20700,5872,Directed
3793,0,Directed
3793,3793,Directed
3793,28652,Directed
3793,13907,Directed
3793,39588,Directed
3793,31364,Directed
3793,7780,Directed
3793,21336,Directed
3793,3793,Directed
3793,6298,Directed
3793,13982,Directed
3793,5606,Directed
3793,3793,Directed
3793,10945,Directed
3793,30642,Directed
3793,1864,Directed
3793,27173,Directed
3793,33533,Directed
3793,3793,Directed
3793,39136,Directed
3793,16279,Directed
3793,18746,Directed
3793,15617,Directed
3793,30590,Directed
3793,7314,Directed
7751,31405,Directed
7751,4792,Directed
7751,31301,Directed
7751,39960,Directed
7751,32953,Directed
7751,5730,Directed
7751,29974,Directed
7751,31028,Directed
7751,32428,Directed
7751,40402,Directed
7751,5052,Directed
7751,27614,Directed
7751,6383,Directed
7751,35533,Directed
7751,30890,Directed
7751,223,Directed
7751,40402,Directed
7751,22112,Directed
7751,5469,Directed
7751,4482,Directed
7751,2351,Directed
7751,3757,Directed
7751,40402,Directed
7751,7848,Directed
7751,2552,Directed
7751,20032,Directed
7751,11114,Directed
7751,8448,Directed
7751,23377,Directed
7751,38279,Directed
7751,32805,Directed
7751,9383,Directed
7751,9266,Directed
7751,31547,Directed
7751,17777,Directed
7751,21059,Directed
7751,15699,Directed
7751,16307,Directed
7751,32095,Directed
7751,24804,Directed
7751,13891,Directed
7751,32120,Directed
7751,17454,Directed
7751,2712,Directed
7751,13599,Directed
7751,7405,Directed
7751,35384,Directed
7751,7814,Directed
7751,18833,Directed
7751,32097,Directed
7751,21281,Directed
7751,28307,Directed
7751,3614,Directed
7751,17459,Directed
7751,25192,Directed
7751,16177,Directed
7751,31679,Directed
7751,1899,Directed
7751,21797,Directed
7751,8264,Directed
7751,10442,Directed
7751,22916,Directed
7751,8840,Directed
7751,1916,Directed
7751,12515,Directed
7751,40402,Directed
7751,40570,Directed
7751,514,Directed
7751,9327,Directed
7751,32486,Directed
7751,12357,Directed
7751,7182,Directed
7751,37301,Directed
7751,23299,Directed
7751,3517,Directed
7751,21482,Directed
7751,19537,Directed
7751,960,Directed
7751,37252,Directed
7751,9437,Directed
7751,37341,Directed
7751,2424,Directed
7751,15658,Directed
7751,32095,Directed
7751,16540,Directed
7751,24410,Directed
7751,17227,Directed
7751,5447,Directed
7751,13260,Directed
7751,37537,Directed
7289,7289,Directed
7289,33729,Directed
7289,37608,Directed
7289,20953,Directed
7289,25316,Directed
7289,7289,Directed
7289,36240,Directed
7289,38145,Directed
7289,30394,Directed
7289,27070,Directed
7289,1420,Directed
7289,27681,Directed
7289,3919,Directed
7289,12931,Directed
7289,40806,Directed
7289,24442,Directed
7289,17784,Directed
7289,7289,Directed
7289,548,Directed
7289,31211,Directed
7289,7289,Directed
7289,38107,Directed
7289,33375,Directed
7289,26615,Directed
7289,4091,Directed
7289,1720,Directed
7289,26345,Directed
7289,3668,Directed
7289,3002,Directed
40402,31405,Directed
40402,4792,Directed
40402,31301,Directed
40402,39960,Directed
40402,32953,Directed
40402,5730,Directed
40402,29974,Directed
40402,31028,Directed
40402,32428,Directed
40402,40402,Directed
40402,5052,Directed
40402,27614,Directed
40402,6383,Directed
40402,35533,Directed
40402,30890,Directed
40402,223,Directed
40402,40402,Directed
40402,22112,Directed
40402,5469,Directed
40402,4482,Directed
40402,2351,Directed
40402,3757,Directed
40402,40402,Directed
40402,7848,Directed
40402,2552,Directed
40402,20032,Directed
40402,11114,Directed
40402,8448,Directed
40402,23377,Directed
40402,38279,Directed
40402,32805,Directed
40402,9383,Directed
40402,9266,Directed
40402,31547,Directed
40402,17777,Directed
40402,21059,Directed
40402,15699,Directed
40402,16307,Directed
40402,32095,Directed
40402,24804,Directed
40402,13891,Directed
40402,32120,Directed
40402,17454,Directed
40402,2712,Directed
40402,13599,Directed
40402,7405,Directed
40402,35384,Directed
40402,7814,Directed
40402,18833,Directed
40402,32097,Directed
40402,21281,Directed
40402,28307,Directed
40402,3614,Directed
40402,17459,Directed
40402,25192,Directed
40402,16177,Directed
40402,31679,Directed
40402,1899,Directed
40402,21797,Directed
40402,8264,Directed
40402,10442,Directed
40402,22916,Directed
40402,8840,Directed
40402,1916,Directed
40402,12515,Directed
40402,40402,Directed
40402,40570,Directed
40402,514,Directed
40402,9327,Directed
40402,32486,Directed
40402,12357,Directed
40402,7182,Directed
40402,37301,Directed
40402,23299,Directed
40402,3517,Directed
40402,21482,Directed
40402,19537,Directed
40402,960,Directed
40402,37252,Directed
40402,9437,Directed
40402,37341,Directed
40402,2424,Directed
40402,15658,Directed
40402,32095,Directed
40402,16540,Directed
40402,24410,Directed
40402,17227,Directed
40402,5447,Directed
40402,13260,Directed
40402,37537,Directed
24803,31405,Directed
24803,4792,Directed
24803,31301,Directed
24803,39960,Directed
24803,32953,Directed
24803,5730,Directed
24803,29974,Directed
24803,31028,Directed
24803,32428,Directed
24803,40402,Directed
24803,5052,Directed
24803,27614,Directed
24803,6383,Directed
24803,35533,Directed
24803,30890,Directed
24803,223,Directed
24803,40402,Directed
24803,22112,Directed
24803,5469,Directed
24803,4482,Directed
24803,2351,Directed
24803,3757,Directed
24803,40402,Directed
24803,7848,Directed
24803,2552,Directed
24803,20032,Directed
24803,11114,Directed
24803,8448,Directed
24803,23377,Directed
24803,38279,Directed
24803,32805,Directed
24803,9383,Directed
24803,9266,Directed
24803,31547,Directed
24803,17777,Directed
24803,21059,Directed
24803,15699,Directed
24803,16307,Directed
24803,32095,Directed
24803,24804,Directed
24803,13891,Directed
24803,32120,Directed
24803,17454,Directed
24803,2712,Directed
24803,13599,Directed
24803,7405,Directed
24803,35384,Directed
24803,7814,Directed
24803,18833,Directed
24803,32097,Directed
24803,21281,Directed
24803,28307,Directed
24803,3614,Directed
24803,17459,Directed
24803,25192,Directed
24803,16177,Directed
24803,31679,Directed
24803,1899,Directed
24803,21797,Directed
24803,8264,Directed
24803,10442,Directed
24803,22916,Directed
24803,8840,Directed
24803,1916,Directed
24803,12515,Directed
24803,40402,Directed
24803,40570,Directed
24803,514,Directed
24803,9327,Directed
24803,32486,Directed
24803,12357,Directed
24803,7182,Directed
24803,37301,Directed
24803,23299,Directed
24803,3517,Directed
24803,21482,Directed
24803,19537,Directed
24803,960,Directed
24803,37252,Directed
24803,9437,Directed
24803,37341,Directed
24803,2424,Directed
24803,15658,Directed
24803,32095,Directed
24803,16540,Directed
24803,24410,Directed
24803,17227,Directed
24803,5447,Directed
24803,13260,Directed
24803,37537,Directed
5797,24947,Directed
5797,4151,Directed
5797,8481,Directed
5797,20316,Directed
5797,31132,Directed
5797,29644,Directed
5797,29638,Directed
5797,4708,Directed
5797,3358,Directed
5797,359,Directed
5797,10001,Directed
5797,4715,Directed
5797,24766,Directed
5797,8481,Directed
5797,34434,Directed
5797,26671,Directed
5797,2647,Directed
5797,6412,Directed
5797,15030,Directed
5797,40740,Directed
5797,32596,Directed
5797,463,Directed
5797,20955,Directed
5797,2381,Directed
5797,158,Directed
5797,9609,Directed
5797,8481,Directed
5797,15321,Directed
5797,29252,Directed
5797,37567,Directed
5797,29830,Directed
5797,2023,Directed
5797,34177,Directed
5797,38512,Directed
5797,27890,Directed
5797,21299,Directed
5797,29638,Directed
5797,12528,Directed
5797,39352,Directed
5797,1568,Directed
5797,28488,Directed
5797,14385,Directed
5797,30421,Directed
5797,2245,Directed
5797,4645,Directed
5797,27531,Directed
5797,8481,Directed
5797,37781,Directed
5797,34790,Directed
5797,31538,Directed
5797,25482,Directed
5797,27757,Directed
5797,36954,Directed
5797,40324,Directed
986,3581,Directed
986,31423,Directed
986,20037,Directed
986,39814,Directed
986,28277,Directed
986,35595,Directed
986,12723,Directed
986,14498,Directed
986,14521,Directed
986,8364,Directed
986,39625,Directed
986,14521,Directed
986,7376,Directed
986,1690,Directed
986,15199,Directed
986,16637,Directed
986,29826,Directed
986,19208,Directed
986,5903,Directed
986,5618,Directed
986,6805,Directed
986,16746,Directed
986,39963,Directed
986,20808,Directed
986,22468,Directed
986,37480,Directed
986,6214,Directed
986,34011,Directed
986,21035,Directed
986,26684,Directed
986,32701,Directed
986,14521,Directed
986,5903,Directed
986,12071,Directed
986,27844,Directed
986,1643,Directed
986,9692,Directed
986,23851,Directed
986,14521,Directed
986,39827,Directed
986,20371,Directed
986,32978,Directed
986,11402,Directed
986,6280,Directed
986,19550,Directed
986,14521,Directed
986,15311,Directed
31383,2053,Directed
31383,31601,Directed
31383,28305,Directed
31383,133,Directed
31383,20996,Directed
31383,27247,Directed
31383,10966,Directed
31383,6809,Directed
31383,6399,Directed
31383,11082,Directed
31383,37590,Directed
31383,34851,Directed
31383,595,Directed
31383,39388,Directed
31383,5443,Directed
31383,18110,Directed
31383,35635,Directed
31383,25665,Directed
31383,21520,Directed
31383,34851,Directed
31383,2349,Directed
31383,30436,Directed
31383,10166,Directed
31383,20673,Directed
31383,12174,Directed
31383,9078,Directed
31383,26667,Directed
31383,25460,Directed
31383,23344,Directed
31383,369,Directed
31383,37034,Directed
31383,24100,Directed
31383,27595,Directed
31383,24604,Directed
31383,24305,Directed
31383,1935,Directed
31383,34987,Directed
31383,14584,Directed
31383,5290,Directed
31383,41055,Directed
31383,4900,Directed
31383,7496,Directed
31383,8300,Directed
31383,39171,Directed
31383,34596,Directed
31383,35483,Directed
31383,31392,Directed
31383,10909,Directed
31383,34851,Directed
31383,18,Directed
31383,9748,Directed
31383,5290,Directed
31383,10169,Directed
31383,12361,Directed
31383,24700,Directed
31383,25259,Directed
31383,20183,Directed
31383,31945,Directed
31383,30203,Directed
31383,28287,Directed
31383,8696,Directed
31383,35325,Directed
31383,27580,Directed
31383,17314,Directed
31383,15955,Directed
31383,8530,Directed
31383,5290,Directed
31383,16931,Directed
31383,7529,Directed
31383,33851,Directed
31383,10930,Directed
31383,2053,Directed
31383,4352,Directed
31383,5290,Directed
31383,11531,Directed
31383,10831,Directed
31383,33984,Directed
31383,17185,Directed
31383,5724,Directed
31383,20996,Directed
31383,27247,Directed
31383,5290,Directed
31383,10632,Directed
31383,9548,Directed
31383,25361,Directed
31383,26562,Directed
31383,38553,Directed
22239,1369,Directed
22239,2478,Directed
22239,7074,Directed
22239,7715,Directed
22239,40048,Directed
22239,27240,Directed
22239,10653,Directed
22239,32207,Directed
22239,20693,Directed
22239,38580,Directed
22239,30977,Directed
22239,21173,Directed
22239,32578,Directed
22239,8490,Directed
22239,23441,Directed
22239,18916,Directed
22239,2478,Directed
22239,4679,Directed
22239,38890,Directed
22239,2478,Directed
22239,7715,Directed
22239,27240,Directed
22239,21490,Directed
22239,29068,Directed
22239,9742,Directed
26549,16177,Directed
26549,5903,Directed
26549,33894,Directed
26549,37551,Directed
26549,31577,Directed
