Source,Target,Type
8022,2763,Directed
8022,24863,Directed
8022,25464,Directed
8022,23550,Directed
2456,2456,Directed
2456,1771,Directed
2456,9847,Directed
2456,18559,Directed
2456,4353,Directed
2456,16843,Directed
2456,14213,Directed
20999,396,Directed
20999,4893,Directed
20999,21852,Directed
20999,27507,Directed
20999,16970,Directed
20999,22959,Directed
20999,10046,Directed
20999,25184,Directed
20999,1326,Directed
20999,396,Directed
20999,17087,Directed
20999,12025,Directed
20999,6755,Directed
20999,15483,Directed
20999,396,Directed
20999,18494,Directed
20999,6256,Directed
20999,2306,Directed
20999,20200,Directed
20999,396,Directed
20999,20964,Directed
20999,3568,Directed
20999,10077,Directed
20999,396,Directed
20999,25394,Directed
20999,15338,Directed
20999,396,Directed
20999,16378,Directed
20999,396,Directed
20999,22785,Directed
20999,396,Directed
20999,7822,Directed
20999,20964,Directed
20999,6398,Directed
20999,22785,Directed
20999,396,Directed
20999,5359,Directed
20999,7246,Directed
20999,27757,Directed
20999,10077,Directed
20999,396,Directed
20999,1399,Directed
23665,14297,Directed
23665,15878,Directed
23665,14546,Directed
23665,23391,Directed
23665,4299,Directed
23665,703,Directed
23665,5318,Directed
23665,23665,Directed
23665,5825,Directed
23665,10636,Directed
9847,17299,Directed
9847,20509,Directed
9847,12972,Directed
9847,2456,Directed
9847,1317,Directed
9847,24709,Directed
9847,23665,Directed
9847,15803,Directed
9847,9847,Directed
9847,7416,Directed
9847,23509,Directed
9847,24436,Directed
9847,12972,Directed
9847,9847,Directed
9847,17299,Directed
9847,24436,Directed
9847,2456,Directed
9847,1771,Directed
9847,9847,Directed
396,396,Directed
396,4893,Directed
396,21852,Directed
396,27507,Directed
396,16970,Directed
396,22959,Directed
396,10046,Directed
396,25184,Directed
396,1326,Directed
396,396,Directed
396,17087,Directed
396,12025,Directed
396,6755,Directed
396,15483,Directed
396,396,Directed
396,18494,Directed
396,6256,Directed
396,2306,Directed
396,20200,Directed
396,396,Directed
396,20964,Directed
396,3568,Directed
396,10077,Directed
396,396,Directed
396,25394,Directed
396,15338,Directed
396,396,Directed
396,16378,Directed
396,396,Directed
396,22785,Directed
396,7822,Directed
396,20964,Directed
396,6398,Directed
396,22785,Directed
396,5359,Directed
396,7246,Directed
396,27757,Directed
396,10077,Directed
396,1399,Directed
6184,6184,Directed
6184,7612,Directed
6184,15641,Directed
6184,24000,Directed
24436,15803,Directed
24436,5846,Directed
24436,21830,Directed
24436,11645,Directed
24436,16630,Directed
24436,5846,Directed
24436,11466,Directed
24436,5846,Directed
24436,1317,Directed
24436,5846,Directed
24436,14488,Directed
24436,11985,Directed
24436,981,Directed
24436,27485,Directed
24436,5846,Directed
24436,24709,Directed
24436,7528,Directed
24436,5846,Directed
24436,17299,Directed
24436,15093,Directed
24436,23433,Directed
24436,23767,Directed
24436,4081,Directed
24436,19324,Directed
24436,1238,Directed
24436,24436,Directed
24436,17733,Directed
24436,24436,Directed
24436,15803,Directed
6466,3417,Directed
6466,1287,Directed
6466,8488,Directed
6466,13580,Directed
18724,13057,Directed
18724,9161,Directed
18724,22730,Directed
18724,3144,Directed
18724,26108,Directed
24709,24709,Directed
24709,7528,Directed
24709,24724,Directed
24709,27394,Directed
24709,21871,Directed
24709,24709,Directed
24709,16035,Directed
24709,12677,Directed
24709,17728,Directed
24709,24709,Directed
24709,13394,Directed
24709,10153,Directed
24709,24709,Directed
24709,22481,Directed
24709,24709,Directed
24709,21433,Directed
24709,12474,Directed
24709,24709,Directed
24709,24986,Directed
6042,6634,Directed
6042,10554,Directed
6042,9835,Directed
6042,17561,Directed
6042,13893,Directed
6042,10215,Directed
6042,19885,Directed
6042,15923,Directed
6042,6634,Directed
6042,17509,Directed
6042,24784,Directed
6042,15869,Directed
6042,14921,Directed
6042,23715,Directed
6042,6634,Directed
6042,5185,Directed
6042,6634,Directed
6042,5814,Directed
26014,3982,Directed
26014,19165,Directed
26014,16725,Directed
26014,9780,Directed
26014,3982,Directed
26014,11377,Directed
26014,2212,Directed
26014,4333,Directed
26014,3982,Directed
26014,5185,Directed
26014,22347,Directed
26014,23371,Directed
26014,12375,Directed
26014,23409,Directed
26014,19953,Directed
26014,26695,Directed
26014,27551,Directed
26014,1015,Directed
26014,4768,Directed
26014,3982,Directed
26014,27329,Directed
26014,8005,Directed
26014,9578,Directed
26014,20166,Directed
15330,16183,Directed
15330,19909,Directed
15330,18097,Directed
15330,12095,Directed
15330,10552,Directed
15330,12473,Directed
15330,16183,Directed
15330,4891,Directed
15330,8069,Directed
15330,16183,Directed
15330,22949,Directed
15330,16183,Directed
15330,25895,Directed
20135,469,Directed
20135,14245,Directed
20135,24784,Directed
20135,469,Directed
20135,26105,Directed
20135,469,Directed
20135,21992,Directed
2325,21773,Directed
2325,11265,Directed
2325,4266,Directed
2325,6378,Directed
2325,17764,Directed
2325,21773,Directed
2325,2111,Directed
2325,2325,Directed
2325,6854,Directed
2325,25895,Directed
2325,16443,Directed
7612,7612,Directed
7612,25464,Directed
7612,21571,Directed
7612,7190,Directed
7612,20926,Directed
7612,7612,Directed
7612,17733,Directed
7612,15641,Directed
7612,7327,Directed
7612,7612,Directed
7612,21487,Directed
7612,21433,Directed
7612,21312,Directed
7612,11430,Directed
7612,9096,Directed
7612,24874,Directed
7612,5318,Directed
7612,24753,Directed
7612,2351,Directed
7612,24378,Directed
7612,26924,Directed
7612,25982,Directed
7612,22552,Directed
7612,6476,Directed
7612,15074,Directed
7612,13998,Directed
7612,5021,Directed
7612,26154,Directed
9567,1106,Directed
9567,9567,Directed
9567,21987,Directed
9567,18112,Directed
4809,16559,Directed
4809,10253,Directed
4809,588,Directed
4809,1242,Directed
3090,1050,Directed
3090,25506,Directed
3090,3757,Directed
3090,2370,Directed
3090,19154,Directed
3090,19616,Directed
3090,17344,Directed
3090,9784,Directed
3090,2828,Directed
3090,1050,Directed
3090,6669,Directed
3090,12280,Directed
3090,8024,Directed
3090,20627,Directed
3090,3059,Directed
3090,3163,Directed
3090,1050,Directed
3090,3605,Directed
3090,18514,Directed
3090,23330,Directed
3090,1050,Directed
3090,15701,Directed
3090,9994,Directed
3090,1050,Directed
3090,19530,Directed
3090,11747,Directed
1317,10566,Directed
1317,5480,Directed
1317,952,Directed
1317,14196,Directed
1317,21338,Directed
1317,4227,Directed
1317,13868,Directed
1317,19372,Directed
1317,17376,Directed
1317,8534,Directed
1317,23571,Directed
1317,12748,Directed
1317,21038,Directed
1317,4978,Directed
1317,18361,Directed
1317,17820,Directed
1317,11910,Directed
1317,18622,Directed
1317,22950,Directed
1317,25851,Directed
1317,7649,Directed
1317,18621,Directed
1317,21678,Directed
1317,26517,Directed
1317,14177,Directed
1317,18447,Directed
1317,2827,Directed
1317,22056,Directed
1317,1317,Directed
1317,6740,Directed
1317,2875,Directed
1317,26205,Directed
1317,12473,Directed
1317,1317,Directed
1317,23665,Directed
1317,7416,Directed
1317,24436,Directed
377,18048,Directed
377,16035,Directed
377,12048,Directed
377,3936,Directed
377,10879,Directed
377,13274,Directed
377,23665,Directed
377,12677,Directed
377,885,Directed
377,17728,Directed
377,4595,Directed
377,22299,Directed
377,12878,Directed
377,7497,Directed
377,5405,Directed
377,21777,Directed
377,16746,Directed
377,14104,Directed
25233,2625,Directed
25233,7467,Directed
25233,12642,Directed
25233,19380,Directed
25233,23626,Directed
25233,2625,Directed
25233,21189,Directed
25233,525,Directed
25233,22399,Directed
25233,4122,Directed
25233,2625,Directed
25233,25287,Directed
25233,2625,Directed
25233,13234,Directed
6290,6290,Directed
6290,7964,Directed
6290,2876,Directed
6290,21777,Directed
6290,21871,Directed
6290,27394,Directed
6290,6290,Directed
6290,1901,Directed
6290,9410,Directed
6290,24842,Directed
6290,12677,Directed
6290,24159,Directed
6290,17055,Directed
6787,9050,Directed
6787,13194,Directed
6787,7259,Directed
6787,12975,Directed
6787,14582,Directed
6787,21869,Directed
6787,25464,Directed
6787,20135,Directed
6787,24159,Directed
6787,15925,Directed
6787,8491,Directed
6787,10419,Directed
6787,23550,Directed
6787,888,Directed
21189,13252,Directed
21189,3966,Directed
21189,21437,Directed
21189,14583,Directed
21189,13252,Directed
21189,20226,Directed
21189,19569,Directed
21189,4177,Directed
21189,9796,Directed
21189,13252,Directed
21189,26639,Directed
21189,10054,Directed
21189,18588,Directed
21189,17073,Directed
21189,9117,Directed
21189,15527,Directed
21189,21277,Directed
21189,13911,Directed
21189,26949,Directed
21189,13252,Directed
21189,646,Directed
21189,525,Directed
21189,4122,Directed
12677,12677,Directed
12677,7346,Directed
12677,12378,Directed
12677,14057,Directed
12677,4821,Directed
12677,10153,Directed
12677,12677,Directed
12677,2445,Directed
12677,16489,Directed
12677,3155,Directed
12677,12677,Directed
12677,10333,Directed
12677,24436,Directed
12677,12677,Directed
12677,17208,Directed
12677,12677,Directed
12677,670,Directed
12677,20734,Directed
12677,12677,Directed
12677,13885,Directed
12677,9199,Directed
12677,14924,Directed
12677,25245,Directed
12677,22179,Directed
12677,27467,Directed
12677,17728,Directed
12677,26794,Directed
12677,14245,Directed
12677,20486,Directed
12677,1246,Directed
1050,1050,Directed
1050,25506,Directed
1050,3757,Directed
1050,2370,Directed
1050,19154,Directed
1050,19616,Directed
1050,17344,Directed
1050,9784,Directed
1050,2828,Directed
