Id,Label
0,opvattingen
1,kerel
2,grondverf
3,herroeping
4,marren
5,stand van zaken
6,nietig verklaren
7,pennen
8,stilletjesaan
9,giswerk
10,briefing
11,vastgrijpen
12,prettige
13,onderwijskracht
14,stalling
15,koekeloeren
16,outilleren
17,gevluchte
18,verdonkeremanen
19,debatteren
20,karakterfout
21,informeel
22,terrorisme
23,gevel
24,maagpijn
25,aangezicht
26,uitkomst
27,roemeniã«
28,wrok
29,napraten
30,vertroosting
31,laatste
32,tegelijkertijd  :
33,degenriem
34,vrijage
35,allesbehalve
36,kwijten
37,ertoe doen
38,bloem
39,kleinzoon
40,geleding
41,trouwe
42,vermindering
43,gerstenat
44,jens
45,hamel
46,de kwaadste niet
47,smaakje
48,schuldig
49,overslaan
50,sierlijkheid
51,wegwippen
52,schoonmoeder
53,vastnemen
54,bakkie
55,ontdekking
56,opwelling
57,zich vervoegen aan
58,rechtszaak
59,usantie
60,rechterhand
61,befaamd
62,eenzijdig  :
63,strijden
64,dolletjes
65,tiranniseren
66,gehecht zijn
67,gerealiseerd
68,ongemakkelijk
69,meedelen
70,koploopster♀
71,eenvoudiglijk
72,uitwassen
73,synchroon
74,een beurt geven
75,telegraaf
76,getrouwd
77,capteren
78,fluitje van een cent
79,bidden
80,barbara
81,trouwpartij
82,stijven
83,wegbrengen
84,bias
85,square
86,hellevorst
87,zorgvuldig
88,restitutie
89,werf
90,verplaatsingsteken
91,visitatie
92,veine
93,resteren
94,onbezwaard
95,te lijf gaan
96,commune
97,ongemeen
98,buitenlandse
99,tolgeld
100,leert
101,uitgelegd
102,dollen
103,werken aan
104,homekit
105,supprimeren
106,inventiviteit
107,schaduwbeeld
108,afweren
109,gender
110,kubieke
111,intercity
112,watch
113,jubileumjaar
114,arresteren
115,arbitrair
116,avond
117,woorden
118,verontrusting
119,terugkomst
120,suspensie
121,iedere keer
122,accompagneren
123,boekenverzameling
124,kift
125,oplichterij
126,overzijde
127,onzelfstandig
128,atletiek
129,ideologische
130,colonne
131,afstemmen
132,uitspringen
133,doorlichten
134,vriendschappelijk
135,biden
136,tweemalig
137,vonnis wijzen
138,basiliek
139,edel metaal
140,de wapenrok dragen
141,spelleiding
