Source,Target,Type
39278,40184,Directed
39278,30885,Directed
39278,41896,Directed
39278,18585,Directed
39278,7609,Directed
39278,38262,Directed
39278,43287,Directed
39278,42039,Directed
39278,38185,Directed
39278,33492,Directed
39278,14103,Directed
39278,31903,Directed
39278,12333,Directed
39278,42265,Directed
39278,14640,Directed
39278,34086,Directed
39278,20469,Directed
39278,15997,Directed
39278,38492,Directed
39278,23192,Directed
39278,27358,Directed
39278,28771,Directed
39278,30985,Directed
39278,39278,Directed
39278,43316,Directed
39278,23918,Directed
39278,39544,Directed
39278,29530,Directed
39278,8251,Directed
39278,24578,Directed
39278,24212,Directed
39278,17404,Directed
39278,14610,Directed
39278,1801,Directed
39278,2521,Directed
39278,1303,Directed
39278,8513,Directed
39278,564,Directed
39278,15953,Directed
39278,18280,Directed
39278,41020,Directed
39278,8349,Directed
39278,32208,Directed
39278,225,Directed
39278,39278,Directed
39278,37645,Directed
39278,27030,Directed
39278,7640,Directed
39278,37199,Directed
39278,33629,Directed
39278,30869,Directed
39278,29083,Directed
39278,12333,Directed
39278,14607,Directed
39278,36957,Directed
39278,16949,Directed
39278,28771,Directed
39278,39278,Directed
39278,42836,Directed
39278,8909,Directed
39278,5705,Directed
39278,14610,Directed
39278,14103,Directed
39278,37391,Directed
39278,38004,Directed
39278,13483,Directed
39278,23016,Directed
39278,37675,Directed
39278,12709,Directed
39278,27267,Directed
39278,3894,Directed
39278,34260,Directed
39278,31131,Directed
39278,39278,Directed
39278,37199,Directed
35093,28428,Directed
35093,17908,Directed
35093,10946,Directed
35093,9486,Directed
35093,39552,Directed
35093,35093,Directed
35093,35431,Directed
35093,40230,Directed
35093,24414,Directed
9444,43097,Directed
9444,35783,Directed
9444,22340,Directed
9444,3708,Directed
9444,32714,Directed
9444,41433,Directed
9444,43371,Directed
9444,42052,Directed
9444,12961,Directed
9444,861,Directed
9444,4968,Directed
9444,1206,Directed
9444,2756,Directed
9444,43251,Directed
9444,32642,Directed
9444,6751,Directed
9444,29089,Directed
9444,3455,Directed
9444,33666,Directed
9444,22124,Directed
9444,7168,Directed
9444,43647,Directed
9444,15951,Directed
9444,4168,Directed
9444,7808,Directed
9444,1165,Directed
9444,19564,Directed
9444,9444,Directed
9444,290,Directed
9444,37376,Directed
9444,2469,Directed
9444,22741,Directed
9444,5033,Directed
9444,20698,Directed
9444,26669,Directed
9444,31257,Directed
9444,33449,Directed
9444,39865,Directed
9444,3550,Directed
9444,24950,Directed
9444,25008,Directed
9444,11981,Directed
9444,21473,Directed
9444,8748,Directed
9444,11592,Directed
9444,42505,Directed
9444,10309,Directed
9444,9259,Directed
9444,19345,Directed
9444,21464,Directed
9444,41776,Directed
9444,4530,Directed
9444,36094,Directed
9444,32433,Directed
16067,41125,Directed
16067,8277,Directed
16067,29038,Directed
16067,11139,Directed
16067,15250,Directed
16067,31915,Directed
16067,40255,Directed
16067,15819,Directed
38185,11303,Directed
38185,38185,Directed
38185,15197,Directed
38185,35241,Directed
38185,20197,Directed
38185,20298,Directed
38185,22794,Directed
38185,29307,Directed
38185,25351,Directed
38185,3535,Directed
38185,38185,Directed
38185,27009,Directed
38185,31810,Directed
38185,42039,Directed
38185,38185,Directed
38185,33492,Directed
38185,14103,Directed
38185,31903,Directed
38185,12333,Directed
38185,42265,Directed
38185,14640,Directed
38185,34086,Directed
38185,20469,Directed
38185,15997,Directed
38185,38492,Directed
38185,23192,Directed
38185,27358,Directed
38185,28771,Directed
38185,30985,Directed
38185,39278,Directed
38185,43316,Directed
38185,23918,Directed
38185,39544,Directed
38185,29530,Directed
38185,8251,Directed
